0, 0, 0, 191, 191, 191
1, 0, 0, 191, 191, 191
2, 0, 0, 191, 191, 191
3, 0, 0, 191, 191, 191
4, 0, 0, 191, 191, 191
5, 0, 0, 191, 191, 191
6, 0, 0, 191, 191, 191
7, 0, 0, 191, 191, 191
8, 0, 0, 191, 191, 191
9, 0, 0, 191, 191, 191
10, 0, 0, 191, 191, 191
0, 1, 0, 191, 191, 191
1, 1, 0, 191, 191, 191
2, 1, 0, 191, 191, 191
3, 1, 0, 191, 191, 191
4, 1, 0, 191, 191, 191
5, 1, 0, 191, 191, 191
6, 1, 0, 191, 191, 191
7, 1, 0, 191, 191, 191
8, 1, 0, 191, 191, 191
9, 1, 0, 191, 191, 191
10, 1, 0, 191, 191, 191
0, 2, 0, 191, 191, 191
1, 2, 0, 191, 191, 191
2, 2, 0, 191, 191, 191
3, 2, 0, 191, 191, 191
4, 2, 0, 191, 191, 191
5, 2, 0, 191, 191, 191
6, 2, 0, 191, 191, 191
7, 2, 0, 191, 191, 191
8, 2, 0, 191, 191, 191
9, 2, 0, 191, 191, 191
10, 2, 0, 191, 191, 191
0, 3, 0, 191, 191, 191
1, 3, 0, 191, 191, 191
2, 3, 0, 191, 191, 191
3, 3, 0, 191, 191, 191
4, 3, 0, 191, 191, 191
5, 3, 0, 191, 191, 191
6, 3, 0, 191, 191, 191
7, 3, 0, 191, 191, 191
8, 3, 0, 191, 191, 191
9, 3, 0, 191, 191, 191
10, 3, 0, 191, 191, 191
0, 4, 0, 191, 191, 191
1, 4, 0, 191, 191, 191
2, 4, 0, 191, 191, 191
3, 4, 0, 191, 191, 191
4, 4, 0, 191, 191, 191
5, 4, 0, 191, 191, 191
6, 4, 0, 191, 191, 191
7, 4, 0, 191, 191, 191
8, 4, 0, 191, 191, 191
9, 4, 0, 191, 191, 191
10, 4, 0, 191, 191, 191
0, 5, 0, 191, 191, 191
1, 5, 0, 191, 191, 191
2, 5, 0, 191, 191, 191
3, 5, 0, 191, 191, 191
4, 5, 0, 191, 191, 191
5, 5, 0, 191, 191, 191
6, 5, 0, 191, 191, 191
7, 5, 0, 191, 191, 191
8, 5, 0, 191, 191, 191
9, 5, 0, 191, 191, 191
10, 5, 0, 191, 191, 191
0, 6, 0, 191, 191, 191
1, 6, 0, 191, 191, 191
2, 6, 0, 191, 191, 191
3, 6, 0, 191, 191, 191
4, 6, 0, 191, 191, 191
5, 6, 0, 191, 191, 191
6, 6, 0, 191, 191, 191
7, 6, 0, 191, 191, 191
8, 6, 0, 191, 191, 191
9, 6, 0, 191, 191, 191
10, 6, 0, 191, 191, 191
0, 7, 0, 191, 191, 191
1, 7, 0, 191, 191, 191
2, 7, 0, 191, 191, 191
3, 7, 0, 191, 191, 191
4, 7, 0, 191, 191, 191
5, 7, 0, 191, 191, 191
6, 7, 0, 191, 191, 191
7, 7, 0, 191, 191, 191
8, 7, 0, 191, 191, 191
9, 7, 0, 191, 191, 191
10, 7, 0, 191, 191, 191
0, 8, 0, 191, 191, 191
1, 8, 0, 191, 191, 191
2, 8, 0, 191, 191, 191
3, 8, 0, 191, 191, 191
4, 8, 0, 191, 191, 191
5, 8, 0, 191, 191, 191
6, 8, 0, 191, 191, 191
7, 8, 0, 191, 191, 191
8, 8, 0, 191, 191, 191
9, 8, 0, 191, 191, 191
10, 8, 0, 191, 191, 191
0, 9, 0, 191, 191, 191
1, 9, 0, 191, 191, 191
2, 9, 0, 191, 191, 191
3, 9, 0, 191, 191, 191
4, 9, 0, 191, 191, 191
5, 9, 0, 191, 191, 191
6, 9, 0, 191, 191, 191
7, 9, 0, 191, 191, 191
8, 9, 0, 191, 191, 191
9, 9, 0, 191, 191, 191
10, 9, 0, 191, 191, 191
0, 10, 0, 191, 191, 191
1, 10, 0, 191, 191, 191
2, 10, 0, 191, 191, 191
3, 10, 0, 191, 191, 191
4, 10, 0, 191, 191, 191
5, 10, 0, 191, 191, 191
6, 10, 0, 191, 191, 191
7, 10, 0, 191, 191, 191
8, 10, 0, 191, 191, 191
9, 10, 0, 191, 191, 191
10, 10, 0, 191, 191, 191
0, 11, 0, 191, 191, 191
1, 11, 0, 191, 191, 191
2, 11, 0, 191, 191, 191
3, 11, 0, 191, 191, 191
4, 11, 0, 191, 191, 191
5, 11, 0, 191, 191, 191
6, 11, 0, 191, 191, 191
7, 11, 0, 191, 191, 191
8, 11, 0, 191, 191, 191
9, 11, 0, 191, 191, 191
10, 11, 0, 191, 191, 191
0, 12, 0, 191, 191, 191
1, 12, 0, 191, 191, 191
2, 12, 0, 191, 191, 191
3, 12, 0, 191, 191, 191
4, 12, 0, 191, 191, 191
5, 12, 0, 191, 191, 191
6, 12, 0, 191, 191, 191
7, 12, 0, 191, 191, 191
8, 12, 0, 191, 191, 191
9, 12, 0, 191, 191, 191
10, 12, 0, 191, 191, 191
0, 13, 0, 191, 191, 191
1, 13, 0, 191, 191, 191
2, 13, 0, 191, 191, 191
3, 13, 0, 191, 191, 191
4, 13, 0, 191, 191, 191
5, 13, 0, 191, 191, 191
6, 13, 0, 191, 191, 191
7, 13, 0, 191, 191, 191
8, 13, 0, 191, 191, 191
9, 13, 0, 191, 191, 191
10, 13, 0, 191, 191, 191
0, 14, 0, 191, 191, 191
1, 14, 0, 191, 191, 191
2, 14, 0, 191, 191, 191
3, 14, 0, 191, 191, 191
4, 14, 0, 191, 191, 191
5, 14, 0, 191, 191, 191
6, 14, 0, 191, 191, 191
7, 14, 0, 191, 191, 191
8, 14, 0, 191, 191, 191
9, 14, 0, 191, 191, 191
10, 14, 0, 191, 191, 191
0, 15, 0, 191, 191, 191
1, 15, 0, 191, 191, 191
2, 15, 0, 191, 191, 191
3, 15, 0, 191, 191, 191
4, 15, 0, 191, 191, 191
5, 15, 0, 191, 191, 191
6, 15, 0, 191, 191, 191
7, 15, 0, 191, 191, 191
8, 15, 0, 191, 191, 191
9, 15, 0, 191, 191, 191
10, 15, 0, 191, 191, 191
0, 16, 0, 191, 191, 191
1, 16, 0, 191, 191, 191
2, 16, 0, 191, 191, 191
3, 16, 0, 191, 191, 191
4, 16, 0, 191, 191, 191
5, 16, 0, 191, 191, 191
6, 16, 0, 191, 191, 191
7, 16, 0, 191, 191, 191
8, 16, 0, 191, 191, 191
9, 16, 0, 191, 191, 191
10, 16, 0, 191, 191, 191
0, 17, 0, 191, 191, 191
1, 17, 0, 191, 191, 191
2, 17, 0, 191, 191, 191
3, 17, 0, 191, 191, 191
4, 17, 0, 191, 191, 191
5, 17, 0, 191, 191, 191
6, 17, 0, 191, 191, 191
7, 17, 0, 191, 191, 191
8, 17, 0, 191, 191, 191
9, 17, 0, 191, 191, 191
10, 17, 0, 191, 191, 191
0, 18, 0, 191, 191, 191
1, 18, 0, 191, 191, 191
2, 18, 0, 191, 191, 191
3, 18, 0, 191, 191, 191
4, 18, 0, 191, 191, 191
5, 18, 0, 191, 191, 191
6, 18, 0, 191, 191, 191
7, 18, 0, 191, 191, 191
8, 18, 0, 191, 191, 191
9, 18, 0, 191, 191, 191
10, 18, 0, 191, 191, 191
0, 19, 0, 191, 191, 191
1, 19, 0, 191, 191, 191
2, 19, 0, 191, 191, 191
3, 19, 0, 191, 191, 191
4, 19, 0, 191, 191, 191
5, 19, 0, 191, 191, 191
6, 19, 0, 191, 191, 191
7, 19, 0, 191, 191, 191
8, 19, 0, 191, 191, 191
9, 19, 0, 191, 191, 191
10, 19, 0, 191, 191, 191
0, 20, 0, 191, 191, 191
1, 20, 0, 191, 191, 191
2, 20, 0, 191, 191, 191
3, 20, 0, 191, 191, 191
4, 20, 0, 191, 191, 191
5, 20, 0, 191, 191, 191
6, 20, 0, 191, 191, 191
7, 20, 0, 191, 191, 191
8, 20, 0, 191, 191, 191
9, 20, 0, 191, 191, 191
10, 20, 0, 191, 191, 191
0, 21, 0, 191, 191, 191
1, 21, 0, 191, 191, 191
2, 21, 0, 191, 191, 191
3, 21, 0, 191, 191, 191
4, 21, 0, 191, 191, 191
5, 21, 0, 191, 191, 191
6, 21, 0, 191, 191, 191
7, 21, 0, 191, 191, 191
8, 21, 0, 191, 191, 191
9, 21, 0, 191, 191, 191
10, 21, 0, 191, 191, 191
0, 22, 0, 191, 191, 191
1, 22, 0, 191, 191, 191
2, 22, 0, 191, 191, 191
3, 22, 0, 191, 191, 191
4, 22, 0, 191, 191, 191
5, 22, 0, 191, 191, 191
6, 22, 0, 191, 191, 191
7, 22, 0, 191, 191, 191
8, 22, 0, 191, 191, 191
